iter	Logloss
0	0.6702160648
1	0.6492359632
2	0.6316017636
3	0.6108771263
4	0.5958198001
5	0.5852639096
6	0.5733189922
7	0.5596100708
8	0.5510431592
9	0.5436006252
10	0.5339718228
11	0.526866624
12	0.5210487466
13	0.5162081895
14	0.5097625805
15	0.5038972121
16	0.4964638389
17	0.4926682882
18	0.4868754236
19	0.4836801634
20	0.479024488
21	0.4754300115
22	0.4727175629
23	0.4691281212
24	0.4668054241
25	0.4643075692
26	0.4615418387
27	0.458738026
28	0.4565034723
29	0.4552115778
30	0.4513308454
31	0.4490237141
32	0.4467487763
33	0.4445360351
34	0.4425058377
35	0.4407669375
36	0.4382848438
37	0.4360442933
38	0.433978114
39	0.4328376084
40	0.4320303497
41	0.4302612678
42	0.4280218538
43	0.4270500808
44	0.4258041525
45	0.4243807238
46	0.4232817464
47	0.4216068502
48	0.4203403673
49	0.4191105435
50	0.4184174967
51	0.4176856417
52	0.4163678384
53	0.4155720349
54	0.4144598354
55	0.4135693854
56	0.4127744495
57	0.4115793696
58	0.4097487315
59	0.4083121466
60	0.4075312501
61	0.4067373881
62	0.4054635857
63	0.4042829698
64	0.4037400851
65	0.4029452687
66	0.401932848
67	0.4009275179
68	0.4000205556
69	0.3994561907
70	0.3985855716
71	0.3977392435
72	0.3971642521
73	0.3960894918
74	0.3953240354
75	0.3948346622
76	0.3944558761
77	0.3940345404
78	0.3928015953
79	0.3918812303
80	0.3912751404
81	0.3908728159
82	0.3900998878
83	0.3892720347
84	0.3888174327
85	0.3881459165
86	0.3875777459
87	0.3871001537
88	0.3866458343
89	0.3861935085
90	0.3857821378
91	0.3852556872
92	0.3848735958
93	0.3845346228
94	0.3839786161
95	0.3836790949
96	0.3833535625
97	0.3830801465
98	0.3825939902
99	0.3821076626
100	0.3818100083
101	0.3811581147
102	0.3806614077
103	0.3802767991
104	0.3796318939
105	0.3790936176
106	0.3785050459
107	0.378147889
108	0.3777610059
109	0.3774707437
110	0.3770526599
111	0.3766679416
112	0.3763426639
113	0.3759660715
114	0.3757413997
115	0.3752482448
116	0.374554285
117	0.3741530265
118	0.3737197536
119	0.3734647221
120	0.3732716677
121	0.3727882328
122	0.3725000814
123	0.3722893179
124	0.3717500381
125	0.3714458049
126	0.3710409425
127	0.3705394903
128	0.3702586079
129	0.3699223894
130	0.3696192388
131	0.3693217787
132	0.368989515
133	0.3686452644
134	0.3683763098
135	0.3680627456
136	0.3676431962
137	0.3673058395
138	0.3669750668
139	0.3667571598
140	0.3665024238
141	0.3661109855
142	0.3659070416
143	0.3655232092
144	0.3652681157
145	0.3649603146
146	0.364500929
147	0.36412398
148	0.3638412361
149	0.3636698857
150	0.363353203
151	0.3630669652
152	0.3628199033
153	0.362004058
154	0.3617092506
155	0.3614616339
156	0.3607925331
157	0.3605643389
158	0.3603647122
159	0.3599161962
160	0.3595958903
161	0.3594091943
162	0.3592507115
163	0.3590041811
164	0.3586176614
165	0.3583285583
166	0.3580235299
167	0.357867783
168	0.3575937355
169	0.3573794672
170	0.3571209568
171	0.3567433486
172	0.3562751493
173	0.3560759422
174	0.3558575565
175	0.3557148852
176	0.3552761582
177	0.3550142616
178	0.3546940441
179	0.3545244059
180	0.3542670489
181	0.3537106963
182	0.3534219593
183	0.3529125677
184	0.3527021558
185	0.3525119883
186	0.3521985941
187	0.3519158488
188	0.351513853
189	0.3512763045
190	0.3510269826
191	0.3508853365
192	0.3506965966
193	0.3502696822
194	0.3500268887
195	0.3496479811
196	0.3494654318
197	0.349097627
198	0.3488620243
199	0.3487103081
