iter	Passed	Remaining
0	5	1173
1	10	997
2	13	882
3	16	829
4	20	799
5	23	767
6	27	752
7	30	742
8	34	725
9	37	713
10	40	701
11	44	702
12	47	684
13	50	668
14	53	653
15	55	640
16	58	629
17	61	624
18	64	614
19	67	603
20	70	597
21	72	587
22	76	589
23	80	592
24	83	586
25	86	581
26	89	573
27	92	569
28	95	562
29	98	556
30	103	562
31	106	560
32	110	557
33	113	555
34	118	556
35	122	556
36	126	555
37	129	552
38	133	549
39	136	546
40	140	543
41	143	540
42	146	536
43	150	532
44	154	530
45	156	525
46	159	519
47	162	514
48	165	508
49	167	503
50	170	499
51	173	494
52	176	489
53	179	484
54	181	479
55	185	477
56	188	472
57	190	467
58	193	462
59	196	458
60	198	453
61	202	450
62	205	446
63	207	441
64	210	436
65	212	432
66	216	429
67	218	425
68	221	420
69	224	416
70	227	412
71	229	408
72	232	405
73	235	400
74	238	396
75	240	392
76	243	389
77	247	386
78	249	382
79	252	378
80	255	375
81	257	371
82	260	367
83	263	364
84	266	361
85	269	357
86	272	353
87	274	349
88	277	346
89	280	342
90	283	339
91	285	335
92	288	331
93	291	328
94	293	324
95	296	321
96	299	317
97	301	314
98	304	310
99	307	307
100	310	304
101	313	300
102	315	297
103	318	293
104	323	292
105	326	289
106	328	285
107	331	282
108	334	278
109	338	276
110	341	273
111	344	270
112	347	267
113	351	264
114	354	261
115	357	259
116	361	256
117	364	253
118	367	250
119	371	247
120	374	244
121	377	241
122	380	238
123	385	236
124	388	233
125	392	230
126	395	227
127	399	224
128	403	222
129	406	219
130	410	216
131	414	213
132	419	211
133	422	208
134	427	205
135	431	202
136	435	200
137	439	197
138	445	195
139	450	192
140	454	190
141	458	187
142	462	184
143	465	181
144	468	177
145	472	174
146	476	171
147	479	168
148	483	165
149	486	162
150	490	159
151	494	156
152	497	152
153	502	150
154	506	146
155	509	143
156	513	140
157	517	137
158	520	134
159	523	130
160	525	127
161	529	124
162	532	120
163	535	117
164	538	114
165	542	111
166	545	107
167	548	104
168	552	101
169	555	97
170	557	94
171	560	91
172	565	88
173	567	84
174	571	81
175	573	78
176	576	74
177	579	71
178	582	68
179	587	65
180	591	62
181	594	58
182	598	55
183	602	52
184	605	49
185	609	45
186	611	42
187	614	39
188	617	35
189	620	32
190	623	29
191	626	26
192	629	22
193	632	19
194	634	16
195	639	13
196	641	9
197	644	6
198	647	3
199	649	0
